Region,Island,Year,ESD Site Name,Latitude,Longitude
MARI,GUA,2022,OCC-GUA-015,13.52893,144.80042
MARI,GUA,2022,OCC-GUA-025,13.46748,144.68121
MARI,GUA,2022,OCC-GUA-026,13.47637,144.69742
MARI,SAI,2022,OCC-SAI-009,15.09785,145.743427
MARI,SAI,2022,OCC-SAI-012,15.156373,145.689743
MARI,MAU,2022,OCC-MAU-002,20.03577,145.22467
MARI,MAU,2022,OCC-MAU-019,20.0142577,145.227279
MARI,PAG,2022,OCC-PAG-006,18.09614,145.76482
MARI,PAG,2022,OCC-PAG-013,18.12007,145.75471
MARI,ASC,2022,OCC-ASC-003,19.67703,145.41075
AMSM,TUT,2023,OCC-TUT-017,-14.36353,-170.76311
AMSM,TUT,2023,OCC-TUT-002,-14.24475,-170.66008
AMSM,TUT,2023,OCC-TUT-025,-14.283142,-170.728314
AMSM,OFU,2023,OCC-OFU-009,-14.180607,-169.652024
AMSM,OFU,2023,OCC-OFU-002,-14.157622,-169.674219
AMSM,ROS,2023,OCC-ROS-010,-14.548706,-168.168774
AMSM,TAU,2023,OCC-TAU-011,-14.25762,-169.50094
AMSM,TAU,2023,OCC-TAU-002,-14.211742,-169.440998
PRIA,BAK,2023,OCC-BAK-003,0.205082,-176.474519
PRIA,BAK,2023,OCC-BAK-008,0.188409,-176.479919
PRIA,HOW,2023,OCC-HOW-005,0.7988,-176.62025
