"","Site","Longitude","Latitude","Lp_ALL","Nl_ALL","Lp_POSP","Nl_POSP","Lp_MOSP","Nl_MOSP","Lp_POCS","Nl_POCS","Lp_ACSP","Nl_ACSP"
"1","OCC-MAU-019",145.227279,20.0142577,1.15249999900908,2,1.15249999900908,2,NA,NA,NA,NA,NA,NA
"2","MAI_OCC_002",-156.146,20.869,1.06369762162815,1,NA,NA,NA,NA,1.06369762162815,1,NA,NA
"3","OCC-ASC-003",145.41075,19.67703,0.993260310538568,1,0.993260310538568,1,NA,NA,NA,NA,NA,NA
"4","OAH_OCC_005",-157.783,21.48,0.990905044422224,1,0.990905044422224,1,NA,NA,NA,NA,NA,NA
"5","OCC-SAI-012",145.689743,15.156373,0.935787636542182,1,0.935787636542182,1,NA,NA,NA,NA,NA,NA
"6","OCC-HOW-005",-176.62025,0.7988,0.928576392482134,4,0.916490622175819,2,1.01318700924361,2,NA,NA,NA,NA
"7","PHR_OCC_016",-175.9971,27.793,0.919738682052906,1,0.919738682052906,1,NA,NA,NA,NA,NA,NA
"8","OCC-PAG-013",145.75471,18.12007,0.915052236001501,1,0.915052236001501,1,NA,NA,NA,NA,NA,NA
"9","OAH_OCC_010",-157.9,21.288,0.877486119011977,2,0.987579326549082,1,NA,NA,0.888522162648133,1,NA,NA
"10","HAW_OCC_003",-155.1,19.747,0.847699663080106,2,1.01201623467513,1,0.837634450945571,1,NA,NA,NA,NA
"11","OCC-GUA-026",144.69742,13.47637,0.794226217395718,1,0.794226217395718,1,NA,NA,NA,NA,NA,NA
"12","HAW_OCC_010",-155.9,19.244,0.782503378575695,1,0.782503378575695,1,NA,NA,NA,NA,NA,NA
"13","OCC-GUA-025",144.68121,13.46748,0.776916756852533,1,0.776916756852533,1,NA,NA,NA,NA,NA,NA
"14","OCC-MAU-002",145.22467,20.03577,0.764736434513567,2,0.764736434513567,2,NA,NA,NA,NA,NA,NA
"15","OCC-PAG-006",145.76482,18.09614,0.75249687684982,1,0.75249687684982,1,NA,NA,NA,NA,NA,NA
"16","OCC-TUT-025",-170.728314,-14.283142,0.687739884655913,3,0.808235289634472,1,NA,NA,0.910710931258473,1,0.934341960512825,1
"17","KUR_OCC_010",-178.3,28.385,0.684551895646011,1,0.684551895646011,1,NA,NA,NA,NA,NA,NA
"18","HAW_OCC_002",-155.9,20.268,0.678791494283576,1,0.678791494283576,1,NA,NA,NA,NA,NA,NA
"19","OCC-GUA-015",144.80042,13.52893,0.597463595700953,1,0.597463595700953,1,NA,NA,NA,NA,NA,NA
"20","MAI_SIO_K01",-156.694,20.937,0.571183927428398,9,0.828163390948409,6,0.689699561307921,3,NA,NA,NA,NA
"21","FFS_OCC_014",-166.253732,23.792456,0.518189135769372,2,0.518189135769372,2,NA,NA,NA,NA,NA,NA
"22","OCC-TUT-017",-170.76311,-14.36353,0.517738900139376,2,NA,NA,0.552321240878201,1,NA,NA,0.937387269981074,1
"23","OCC-BAK-008",-176.479919,0.188409,0.51372896417972,4,NA,NA,0.694765109686478,1,0.997866207997086,1,0.741009431536145,2
"24","OCC-BAK-003",-176.474519,0.205082,0.492982864005911,3,0.531817266901264,1,NA,NA,0.958436690661561,1,0.967176996921868,1
"25","OCC-SAI-009",145.743427,15.09785,0.435267782546661,1,0.435267782546661,1,NA,NA,NA,NA,NA,NA
"26","LIS_OCC_005",-173.87918,26.03741,0.403438486066164,4,0.805446486331503,2,0.500888007971417,2,NA,NA,NA,NA
"27","HAW_SIO_K08",-155.913,19.443,0.371544031741259,2,0.371544031741259,2,NA,NA,NA,NA,NA,NA
"28","HAW_SIO_K10",-156.01208,19.64222,0.35916273375905,2,0.35916273375905,2,NA,NA,NA,NA,NA,NA
"29","OCC-TAU-002",-169.440998,-14.211742,0.324959240837144,2,0.39434819534219,1,0.824041404716371,1,NA,NA,NA,NA
"30","MAI_SIO_OL3",-156.6,20.805,0.311861888037277,10,0.694059244279615,4,0.708526631089912,5,0.634175678543259,1,NA,NA
"31","OCC-OFU-009",-169.652024,-14.180607,0.311790960135938,4,0.55115705188184,1,0.576625405879751,1,0.963772739623959,1,1.01793427907149,1
"32","OCC-ROS-010",-168.168774,-14.548706,0.300374374395946,3,0.946534342247777,1,0.394198275277561,1,0.80502947882952,1,NA,NA
"33","MAI_SIO_K02",-156.69383,20.93884,0.292929618812078,8,0.598926861942714,4,0.48909080127399,4,NA,NA,NA,NA
"34","OCC-OFU-002",-169.674219,-14.157622,0.202429351200363,4,0.898670705904588,1,0.954312934857828,1,0.54635252479224,1,0.432025253096505,1
"35","OCC-TUT-002",-170.66008,-14.24475,0.113666063669219,4,0.387918239775104,1,0.514494279429378,1,0.813686940531368,1,0.699926962838031,1
"36","FFS_OCC_002",-166.29106,23.878152,0.050793717614592,1,0.050793717614592,1,NA,NA,NA,NA,NA,NA
