"","Genus","REGION","SiteStock_median","SiteStock_mean","SiteStock_q05","SiteStock_q95"
"1","ACSP","MARIAN",0.00182688334981792,0.00366072111989193,0.00013070802625576,0.0108627558266667
"2","ACSP","PRIA",0.000945743219092356,0.00221857289836923,9.28989772460562e-05,0.00626109941129308
"3","ACSP","SAMOA",0.0018984646216826,0.0332624547113106,0.000130254409901755,0.166180824537966
"4","MOSP","MARIAN",0.000502208520899657,0.000502208520899657,0.000219602385939223,0.000784814655860092
"5","MOSP","MHI",0.000721978769456302,0.00857173788168221,0.000114133608463555,0.0374160400333856
"6","MOSP","NWHI",0.0242222693208214,0.0185940875383942,0.00547239861102641,0.027776049218063
"7","MOSP","PRIA",0.00314171203881204,0.00255001339307171,0.000637618198305577,0.0036340304838014
"8","MOSP","SAMOA",0.00135738580823385,0.00255872960515505,0.000373215365867776,0.00845003842831873
"9","POCS","MARIAN",0.00957179951306776,0.0747884837490448,0.000219571282288163,0.254205660527933
"10","POCS","MHI",0.000496212630111939,0.00526299679998063,5.49143988590233e-05,0.0228846059722106
"11","POCS","NWHI",0.142286071601933,0.142286071601933,0.0305317949433677,0.254040348260498
"12","POCS","PRIA",0.00355961673650397,0.00930768059643494,0.00055681345162608,0.0220821924431955
"13","POCS","SAMOA",0.00196772953444375,0.0131327832183772,0.000370384869892788,0.0584513284444775
"14","POSP","MARIAN",0.000241391813058454,0.00124378137525581,1.95185611058803e-05,0.00385782953407499
"15","POSP","MHI",0.0012264588602303,0.00196532224607502,3.96011325971847e-05,0.00545767640053268
"16","POSP","NWHI",0.0241146671678783,0.0219243020244866,0.000504108607037203,0.0407883056424564
"17","POSP","PRIA",0.000729560958744047,0.00109666377733793,0.000614500944659402,0.00203758507132935
"18","POSP","SAMOA",0.0095951823266985,0.016601749863578,0.00063645292558934,0.056168392507129
